reactionID,hm_38_gene,hm_19_gene
bio/HMR_3905,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_8502,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_8507,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_8508,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_8530,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_6756,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_1129,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_1130,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_1131,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_1288,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_1684,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_6631,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_6633,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_4561,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_7038,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_4202,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/RE1711M,bio/hg38_ADHFE1,bio/hg19_ADHFE1
bio/HMR_3905,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_8502,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_8507,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_8508,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_8530,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_6756,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_1129,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_1130,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_1131,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_1288,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_0453,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_0458,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_1684,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_6631,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_6633,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_4561,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_7038,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_4202,bio/hg38_ADH6,bio/hg19_ADH6
bio/HMR_3905,bio/hg38_ZADH2,bio/hg19_ZADH2
bio/HMR_4360,bio/hg38_ZADH2,bio/hg19_ZADH2
bio/HMR_8507,bio/hg38_ZADH2,bio/hg19_ZADH2
bio/HMR_8508,bio/hg38_ZADH2,bio/hg19_ZADH2
bio/HMR_4202,bio/hg38_ZADH2,bio/hg19_ZADH2
bio/HMR_3905,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_8502,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_8507,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_8508,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_8530,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_6756,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_1129,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_1130,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_1131,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_1288,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_0453,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_0458,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_1684,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_6631,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_6633,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_4561,bio/hg38_ADH1A,bio/hg19_ADH1A
bio/HMR_7038,bio/hg38_ADH1A,bio/hg19_ADH1A
