ensemblID,systemsBiologyOntologyTerm,hm_38_gene,hm_19_gene
ENSG00000000419,"""SBO:0000243""",bio/hg38_DPM1,bio/hg19_DPM1
ENSG00000000938,"""SBO:0000243""",bio/hg38_FGR,bio/hg19_FGR
ENSG00000001036,"""SBO:0000243""",bio/hg38_FUCA2,bio/hg19_FUCA2
ENSG00000001084,"""SBO:0000243""",bio/hg38_GCLC,bio/hg19_GCLC
ENSG00000001630,"""SBO:0000243""",bio/hg38_CYP51A1,bio/hg19_CYP51A1
ENSG00000002549,"""SBO:0000243""",bio/hg38_LAP3,bio/hg19_LAP3
ENSG00000002587,"""SBO:0000243""",bio/hg38_HS3ST1,bio/hg19_HS3ST1
ENSG00000002726,"""SBO:0000243""",bio/hg38_AOC1,bio/hg19_AOC1
ENSG00000002746,"""SBO:0000243""",bio/hg38_HECW1,bio/hg19_HECW1
ENSG00000003137,"""SBO:0000243""",bio/hg38_CYP26B1,bio/hg19_CYP26B1
ENSG00000003987,"""SBO:0000243""",bio/hg38_MTMR7,bio/hg19_MTMR7
ENSG00000003989,"""SBO:0000243""",bio/hg38_SLC7A2,bio/hg19_SLC7A2
ENSG00000004455,"""SBO:0000243""",bio/hg38_AK2,bio/hg19_AK2
ENSG00000004468,"""SBO:0000243""",bio/hg38_CD38,bio/hg19_CD38
ENSG00000004478,"""SBO:0000243""",bio/hg38_FKBP4,bio/hg19_FKBP4
ENSG00000004660,"""SBO:0000243""",bio/hg38_CAMKK1,bio/hg19_CAMKK1
ENSG00000004779,"""SBO:0000243""",bio/hg38_NDUFAB1,bio/hg19_NDUFAB1
ENSG00000004799,"""SBO:0000243""",bio/hg38_PDK4,bio/hg19_PDK4
ENSG00000004809,"""SBO:0000243""",bio/hg38_SLC22A16,bio/hg19_SLC22A16
ENSG00000004864,"""SBO:0000243""",bio/hg38_SLC25A13,bio/hg19_SLC25A13
ENSG00000004939,"""SBO:0000243""",bio/hg38_SLC4A1,bio/hg19_SLC4A1
ENSG00000004961,"""SBO:0000243""",bio/hg38_HCCS,bio/hg19_HCCS
ENSG00000005022,"""SBO:0000243""",bio/hg38_SLC25A5,bio/hg19_SLC25A5
ENSG00000005075,"""SBO:0000243""",bio/hg38_POLR2J,bio/hg19_POLR2J
ENSG00000005187,"""SBO:0000243""",bio/hg38_ACSM3,bio/hg19_ACSM3
ENSG00000005249,"""SBO:0000243""",bio/hg38_PRKAR2B,bio/hg19_PRKAR2B
ENSG00000005339,"""SBO:0000243""",bio/hg38_CREBBP,bio/hg19_CREBBP
ENSG00000005381,"""SBO:0000243""",bio/hg38_MPO,bio/hg19_MPO
ENSG00000005421,"""SBO:0000243""",bio/hg38_PON1,bio/hg19_PON1
ENSG00000005469,"""SBO:0000243""",bio/hg38_CROT,bio/hg19_CROT
ENSG00000005471,"""SBO:0000243""",bio/hg38_ABCB4,bio/hg19_ABCB4
ENSG00000005483,"""SBO:0000243""",bio/hg38_KMT2E,bio/hg19_KMT2E
ENSG00000005810,"""SBO:0000243""",bio/hg38_MYCBP2,bio/hg19_MYCBP2
ENSG00000005882,"""SBO:0000243""",bio/hg38_PDK2,bio/hg19_PDK2
ENSG00000006007,"""SBO:0000243""",bio/hg38_GDE1,bio/hg19_GDE1
ENSG00000006062,"""SBO:0000243""",bio/hg38_MAP3K14,bio/hg19_MAP3K14
ENSG00000006071,"""SBO:0000243""",bio/hg38_ABCC8,bio/hg19_ABCC8
ENSG00000006432,"""SBO:0000243""",bio/hg38_MAP3K9,bio/hg19_MAP3K9
ENSG00000006530,"""SBO:0000243""",bio/hg38_AGK,bio/hg19_AGK
ENSG00000006534,"""SBO:0000243""",bio/hg38_ALDH3B1,bio/hg19_ALDH3B1
ENSG00000006625,"""SBO:0000243""",bio/hg38_GGCT,bio/hg19_GGCT
ENSG00000006695,"""SBO:0000243""",bio/hg38_COX10,bio/hg19_COX10
ENSG00000006756,"""SBO:0000243""",bio/hg38_ARSD,bio/hg19_ARSD
ENSG00000006757,"""SBO:0000243""",bio/hg38_PNPLA4,bio/hg19_PNPLA4
ENSG00000006837,"""SBO:0000243""",bio/hg38_CDKL3,bio/hg19_CDKL3
ENSG00000007001,"""SBO:0000243""",bio/hg38_UPP2,bio/hg19_UPP2
ENSG00000007047,"""SBO:0000243""",bio/hg38_MARK4,bio/hg19_MARK4
ENSG00000007168,"""SBO:0000243""",bio/hg38_PAFAH1B1,bio/hg19_PAFAH1B1
ENSG00000007171,"""SBO:0000243""",bio/hg38_NOS2,bio/hg19_NOS2
ENSG00000007216,"""SBO:0000243""",bio/hg38_SLC13A2,bio/hg19_SLC13A2
ENSG00000007264,"""SBO:0000243""",bio/hg38_MATK,bio/hg19_MATK
ENSG00000007350,"""SBO:0000243""",bio/hg38_TKTL1,bio/hg19_TKTL1
ENSG00000007541,"""SBO:0000243""",bio/hg38_PIGQ,bio/hg19_PIGQ
ENSG00000007933,"""SBO:0000243""",bio/hg38_FMO3,bio/hg19_FMO3
ENSG00000007944,"""SBO:0000243""",bio/hg38_MYLIP,bio/hg19_MYLIP
ENSG00000008086,"""SBO:0000243""",bio/hg38_CDKL5,bio/hg19_CDKL5
ENSG00000008118,"""SBO:0000243""",bio/hg38_CAMK1G,bio/hg19_CAMK1G
ENSG00000008128,"""SBO:0000243""",bio/hg38_CDK11A,bio/hg19_CDK11A
ENSG00000008130,"""SBO:0000243""",bio/hg38_NADK,bio/hg19_NADK
ENSG00000008300,"""SBO:0000243""",bio/hg38_CELSR3,bio/hg19_CELSR3
ENSG00000008311,"""SBO:0000243""",bio/hg38_AASS,bio/hg19_AASS
ENSG00000008394,"""SBO:0000243""",bio/hg38_MGST1,bio/hg19_MGST1
ENSG00000008438,"""SBO:0000243""",bio/hg38_PGLYRP1,bio/hg19_PGLYRP1
ENSG00000008513,"""SBO:0000243""",bio/hg38_ST3GAL1,bio/hg19_ST3GAL1
ENSG00000009335,"""SBO:0000243""",bio/hg38_UBE3C,bio/hg19_UBE3C
ENSG00000009413,"""SBO:0000243""",bio/hg38_REV3L,bio/hg19_REV3L
ENSG00000009830,"""SBO:0000243""",bio/hg38_POMT2,bio/hg19_POMT2
ENSG00000010165,"""SBO:0000243""",bio/hg38_EEF1AKNMT,bio/hg19_EEF1AKNMT
ENSG00000010219,"""SBO:0000243""",bio/hg38_DYRK4,bio/hg19_DYRK4
ENSG00000010256,"""SBO:0000243""",bio/hg38_UQCRC1,bio/hg19_UQCRC1
ENSG00000010379,"""SBO:0000243""",bio/hg38_SLC6A13,bio/hg19_SLC6A13
ENSG00000010404,"""SBO:0000243""",bio/hg38_IDS,bio/hg19_IDS
ENSG00000010671,"""SBO:0000243""",bio/hg38_BTK,bio/hg19_BTK
ENSG00000010810,"""SBO:0000243""",bio/hg38_FYN,bio/hg19_FYN
ENSG00000010932,"""SBO:0000243""",bio/hg38_FMO1,bio/hg19_FMO1
ENSG00000011009,"""SBO:0000243""",bio/hg38_LYPLA2,bio/hg19_LYPLA2
ENSG00000011052,"""SBO:0000243""",bio/hg38_NME1-NME2,bio/hg19_NME1-NME2
ENSG00000011083,"""SBO:0000243""",bio/hg38_SLC6A7,bio/hg19_SLC6A7
ENSG00000011198,"""SBO:0000243""",bio/hg38_ABHD5,bio/hg19_ABHD5
ENSG00000011275,"""SBO:0000243""",bio/hg38_RNF216,bio/hg19_RNF216
ENSG00000011405,"""SBO:0000243""",bio/hg38_PIK3C2A,bio/hg19_PIK3C2A
