dcid,reactionID
bio/acyl-coa_hydrolysis,bio/HMR_0154
bio/acyl-coa_hydrolysis,bio/HMR_0189
bio/acyl-coa_hydrolysis,bio/HMR_0193
bio/acyl-coa_hydrolysis,bio/HMR_0197
bio/acyl-coa_hydrolysis,bio/HMR_0201
bio/acyl-coa_hydrolysis,bio/HMR_0206
bio/acyl-coa_hydrolysis,bio/HMR_0210
bio/acyl-coa_hydrolysis,bio/HMR_0214
bio/acyl-coa_hydrolysis,bio/HMR_0223
bio/acyl-coa_hydrolysis,bio/HMR_0230
bio/acyl-coa_hydrolysis,bio/HMR_0234
bio/acyl-coa_hydrolysis,bio/HMR_0238
bio/acyl-coa_hydrolysis,bio/HMR_0242
bio/acyl-coa_hydrolysis,bio/HMR_0246
bio/acyl-coa_hydrolysis,bio/HMR_0250
bio/acyl-coa_hydrolysis,bio/HMR_0256
bio/acyl-coa_hydrolysis,bio/HMR_0260
bio/acyl-coa_hydrolysis,bio/HMR_0264
bio/acyl-coa_hydrolysis,bio/HMR_0268
bio/acyl-coa_hydrolysis,bio/HMR_0272
bio/acyl-coa_hydrolysis,bio/HMR_0276
bio/acyl-coa_hydrolysis,bio/HMR_0280
bio/acyl-coa_hydrolysis,bio/HMR_0284
bio/acyl-coa_hydrolysis,bio/HMR_0290
bio/acyl-coa_hydrolysis,bio/HMR_0294
bio/acyl-coa_hydrolysis,bio/HMR_0298
bio/acyl-coa_hydrolysis,bio/HMR_0302
bio/acyl-coa_hydrolysis,bio/HMR_0306
bio/acyl-coa_hydrolysis,bio/HMR_0310
bio/acyl-coa_hydrolysis,bio/HMR_0314
bio/acyl-coa_hydrolysis,bio/HMR_0320
bio/acyl-coa_hydrolysis,bio/HMR_0324
bio/acyl-coa_hydrolysis,bio/HMR_0328
bio/acyl-coa_hydrolysis,bio/HMR_0332
bio/acyl-coa_hydrolysis,bio/HMR_0338
bio/acyl-coa_hydrolysis,bio/HMR_0342
bio/acyl-coa_hydrolysis,bio/HMR_0346
bio/acyl-coa_hydrolysis,bio/HMR_0350
bio/acyl-coa_hydrolysis,bio/HMR_0354
bio/acyl-coa_hydrolysis,bio/HMR_0358
bio/acyl-coa_hydrolysis,bio/HMR_0362
bio/acyl-coa_hydrolysis,bio/HMR_0366
bio/acyl-coa_hydrolysis,bio/HMR_0370
bio/acyl-coa_hydrolysis,bio/HMR_0374
bio/acyl-coa_hydrolysis,bio/HMR_0378
bio/acyl-coa_hydrolysis,bio/HMR_0382
bio/acyl-coa_hydrolysis,bio/HMR_0386
bio/acyl-coa_hydrolysis,bio/HMR_0390
bio/acyl-coa_hydrolysis,bio/HMR_0394
bio/acyl-coa_hydrolysis,bio/HMR_0398
bio/acyl-coa_hydrolysis,bio/HMR_0402
bio/acyl-coa_hydrolysis,bio/HMR_0406
bio/acyl-coa_hydrolysis,bio/HMR_0410
bio/acyl-coa_hydrolysis,bio/HMR_0414
bio/acyl-coa_hydrolysis,bio/HMR_0418
bio/acyl-coa_hydrolysis,bio/HMR_0422
bio/acyl-coa_hydrolysis,bio/HMR_0426
bio/acyl-coa_hydrolysis,bio/HMR_0430
bio/acyl-coa_hydrolysis,bio/HMR_0434
bio/acyl-coa_hydrolysis,bio/HMR_0438
bio/acyl-coa_hydrolysis,bio/HMR_3009
bio/acyl-coa_hydrolysis,bio/HMR_3475
bio/acyl-coa_hydrolysis,bio/HMR_3476
bio/acyl-coa_hydrolysis,bio/HMR_3477
bio/acylglycerides_metabolism,bio/HMR_0001
bio/acylglycerides_metabolism,bio/HMR_0002
bio/acylglycerides_metabolism,bio/HMR_0003
bio/acylglycerides_metabolism,bio/HMR_0005
bio/acylglycerides_metabolism,bio/HMR_0449
bio/acylglycerides_metabolism,bio/HMR_0604
bio/acylglycerides_metabolism,bio/HMR_0605
bio/acylglycerides_metabolism,bio/HMR_0665
bio/acylglycerides_metabolism,bio/HMR_0667
bio/acylglycerides_metabolism,bio/HMR_0668
bio/acylglycerides_metabolism,bio/HMR_0669
bio/acylglycerides_metabolism,bio/HMR_0670
bio/acylglycerides_metabolism,bio/HMR_0671
bio/acylglycerides_metabolism,bio/HMR_0672
bio/acylglycerides_metabolism,bio/HMR_0679
bio/acylglycerides_metabolism,bio/HMR_0680
bio/acylglycerides_metabolism,bio/HMR_0681
bio/acylglycerides_metabolism,bio/HMR_0682
bio/acylglycerides_metabolism,bio/HMR_0683
bio/acylglycerides_metabolism,bio/HMR_0684
bio/acylglycerides_metabolism,bio/HMR_7588
bio/alanine__aspartate_and_glutamate_metabolism,bio/4OHBUTm
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3802
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3804
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3811
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3813
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3822
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3827
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3829
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3831
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3862
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3865
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3870
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3873
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3890
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3892
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3899
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_3903
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4109
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4114
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4115
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4118
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4172
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4196
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4197
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4285
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4287
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4690
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_4693
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_6780
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_6968
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_6969
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_6970
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_6971
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_6972
bio/alanine__aspartate_and_glutamate_metabolism,bio/HMR_7641
