accession,associated_metabolite,protein_dcid,metabolite_dcid
HMDBP00001,HMDB0014944,bio/5NTD_HUMAN,bio/CHEMBL628
HMDBP00001,HMDB0015122,bio/5NTD_HUMAN,bio/CHEMBL803
HMDBP00001,HMDB0002111,bio/5NTD_HUMAN,bio/CHEMBL1098659
HMDBP00001,HMDB0001429,bio/5NTD_HUMAN,bio/CHEMBL1187
HMDBP00001,HMDB0000045,bio/5NTD_HUMAN,bio/CHEMBL752
HMDBP00001,HMDB0000050,bio/5NTD_HUMAN,bio/CHEMBL477
HMDBP00001,HMDB0000095,bio/5NTD_HUMAN,bio/CHEMBL307679
HMDBP00001,HMDB0000089,bio/5NTD_HUMAN,bio/CHEMBL95606
HMDBP00001,HMDB0000288,bio/5NTD_HUMAN,bio/CHEMBL214393
HMDBP00001,HMDB0000296,bio/5NTD_HUMAN,bio/CHEMBL100259
HMDBP00001,HMDB0000175,bio/5NTD_HUMAN,bio/CHEMBL1207374
HMDBP00001,HMDB0000195,bio/5NTD_HUMAN,bio/CHEMBL1556
HMDBP00001,HMDB0001397,bio/5NTD_HUMAN,bio/CHEMBL283807
HMDBP00001,HMDB0000133,bio/5NTD_HUMAN,bio/CHEMBL375655
HMDBP00001,HMDB0001227,bio/5NTD_HUMAN,bio/CHEMBL394429
HMDBP00001,HMDB0000273,bio/5NTD_HUMAN,bio/CHEMBL52609
HMDBP00001,HMDB0001202,bio/5NTD_HUMAN,bio/CHEMBL374699
HMDBP00001,HMDB0000014,bio/5NTD_HUMAN,bio/CHEMBL66115
HMDBP00001,HMDB0001044,bio/5NTD_HUMAN,bio/CHEMBL477487
HMDBP00001,HMDB0000085,bio/5NTD_HUMAN,bio/CHEMBL68908
HMDBP00001,HMDB0000905,bio/5NTD_HUMAN,bio/CHEMBL1206239
HMDBP00001,HMDB0000101,bio/5NTD_HUMAN,bio/CHEMBL449329
HMDBP00001,HMDB0000229,bio/5NTD_HUMAN,bio/CHEMBL610238
HMDBP00001,HMDB0000855,bio/5NTD_HUMAN,bio/CHEMBL438497
HMDBP00001,HMDB0001554,bio/5NTD_HUMAN,bio/CHEMBL1206243
HMDBP00001,HMDB0000299,bio/5NTD_HUMAN,bio/CHEMBL402439
