id,compartment,metabolite_dcid,metabolic_compartment_dcid
m00001c,dcs:CellularCompartmentCytosol,bio/CHEMBL1907992,bio/m00001c
m00001s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1907992,bio/m00001s
m00002c,dcs:CellularCompartmentCytosol,bio/CHEMBL442565,bio/m00002c
m00002s,dcs:CellularCompartmentExtracellular,bio/CHEMBL442565,bio/m00002s
m00003c,dcs:CellularCompartmentCytosol,bio/HMDB0060038,bio/m00003c
m00003l,dcs:CellularCompartmentLysosome,bio/HMDB0060038,bio/m00003l
m00003r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0060038,bio/m00003r
m00003s,dcs:CellularCompartmentExtracellular,bio/HMDB0060038,bio/m00003s
m00004c,dcs:CellularCompartmentCytosol,bio/HMDB0062213,bio/m00004c
m00004m,dcs:CellularCompartmentMitochondria,bio/HMDB0062213,bio/m00004m
m00004r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062213,bio/m00004r
m00005c,dcs:CellularCompartmentCytosol,bio/HMDB0004696,bio/m00005c
m00006c,dcs:CellularCompartmentCytosol,bio/(11Z)-docosenoyl-CoA,bio/m00006c
m00006m,dcs:CellularCompartmentMitochondria,bio/(11Z)-docosenoyl-CoA,bio/m00006m
m00006r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(11Z)-docosenoyl-CoA,bio/m00006r
m00007c,dcs:CellularCompartmentCytosol,bio/HMDB0062214,bio/m00007c
m00007m,dcs:CellularCompartmentMitochondria,bio/HMDB0062214,bio/m00007m
m00007p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062214,bio/m00007p
m00007r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062214,bio/m00007r
m00008c,dcs:CellularCompartmentCytosol,bio/CHEMBL464983,bio/m00008c
m00008l,dcs:CellularCompartmentLysosome,bio/CHEMBL464983,bio/m00008l
m00008r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL464983,bio/m00008r
m00008s,dcs:CellularCompartmentExtracellular,bio/CHEMBL464983,bio/m00008s
m00009c,dcs:CellularCompartmentCytosol,bio/HMDB0062215,bio/m00009c
m00009m,dcs:CellularCompartmentMitochondria,bio/HMDB0062215,bio/m00009m
m00009r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062215,bio/m00009r
m00010c,dcs:CellularCompartmentCytosol,bio/CHEMBL453991,bio/m00010c
m00010l,dcs:CellularCompartmentLysosome,bio/CHEMBL453991,bio/m00010l
m00010r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL453991,bio/m00010r
m00010s,dcs:CellularCompartmentExtracellular,bio/CHEMBL453991,bio/m00010s
m00011c,dcs:CellularCompartmentCytosol,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine,bio/m00011c
m00011m,dcs:CellularCompartmentMitochondria,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine,bio/m00011m
m00011r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine,bio/m00011r
m00012c,dcs:CellularCompartmentCytosol,bio/HMDB0062216,bio/m00012c
m00012m,dcs:CellularCompartmentMitochondria,bio/HMDB0062216,bio/m00012m
m00012r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062216,bio/m00012r
m00013c,dcs:CellularCompartmentCytosol,bio/HMDB0001320,bio/m00013c
m00014p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012575,bio/m00014p
