id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,metabolite_dcid
m00001c,"""(-)-trans-carveol""",dcs:CellularCompartmentCytosol,C10H16O,carveol,"""CHEBI:15389""",CHEMBL1907992,C00964,MNXM45735,HMDB0059608,,,bio/CHEMBL1907992
m00001s,"""(-)-trans-carveol""",dcs:CellularCompartmentExtracellular,C10H16O,carveol,"""CHEBI:15389""",CHEMBL1907992,C00964,MNXM45735,HMDB0059608,,,bio/CHEMBL1907992
m00002c,"""(+)-alpha-pinene""",dcs:CellularCompartmentCytosol,C10H16,appnn,"""CHEBI:36740""",CHEMBL442565,C09880,MNXM163755,HMDB0035658,6654,,bio/CHEMBL442565
m00002s,"""(+)-alpha-pinene""",dcs:CellularCompartmentExtracellular,C10H16,appnn,"""CHEBI:36740""",CHEMBL442565,C09880,MNXM163755,HMDB0035658,6654,,bio/CHEMBL442565
m00003c,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentCytosol,C17H31O2,,,,,MNXM150165,HMDB0060038,,LMFA01030283,bio/HMDB0060038
m00003l,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentLysosome,C17H31O2,,,,,MNXM150165,HMDB0060038,,LMFA01030283,bio/HMDB0060038
m00003r,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C17H31O2,,,,,MNXM150165,HMDB0060038,,LMFA01030283,bio/HMDB0060038
m00003s,"""(10Z)-heptadecenoic acid""",dcs:CellularCompartmentExtracellular,C17H31O2,,,,,MNXM150165,HMDB0060038,,LMFA01030283,bio/HMDB0060038
m00004c,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentCytosol,C38H62N7O17P3S,,,,,MNXM148601,HMDB0062213,,,bio/HMDB0062213
m00004m,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentMitochondria,C38H62N7O17P3S,,,,,MNXM148601,HMDB0062213,,,bio/HMDB0062213
m00004r,"""(10Z)-heptadecenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C38H62N7O17P3S,,,,,MNXM148601,HMDB0062213,,,bio/HMDB0062213
m00005c,"""(11R)-HPETE""",dcs:CellularCompartmentCytosol,C20H31O4,,,,,MNXM9658,HMDB0004696,,LMFA03060071,bio/HMDB0004696
m00006c,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentCytosol,C43H72N7O17P3S,,,,,,,,,bio/(11Z)-docosenoyl-CoA
m00006m,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C43H72N7O17P3S,,,,,,,,,bio/(11Z)-docosenoyl-CoA
m00006r,"""(11Z)-docosenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C43H72N7O17P3S,,,,,,,,,bio/(11Z)-docosenoyl-CoA
m00007c,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentCytosol,C41H68N7O17P3S,,,,,MNXM11852,HMDB0062214,,LMFA07050056,bio/HMDB0062214
m00007m,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H68N7O17P3S,,,,,MNXM11852,HMDB0062214,,LMFA07050056,bio/HMDB0062214
m00007p,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentPeroxisome,C41H68N7O17P3S,,,,,MNXM11852,HMDB0062214,,LMFA07050056,bio/HMDB0062214
m00007r,"""(11Z)-eicosenoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C41H68N7O17P3S,,,,,MNXM11852,HMDB0062214,,LMFA07050056,bio/HMDB0062214
m00008c,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentCytosol,C20H35O2,,,CHEMBL464983,C16525,MNXM11473,HMDB0005060,,LMFA01030130,bio/CHEMBL464983
m00008l,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentLysosome,C20H35O2,,,CHEMBL464983,C16525,MNXM11473,HMDB0005060,,LMFA01030130,bio/CHEMBL464983
m00008r,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C20H35O2,,,CHEMBL464983,C16525,MNXM11473,HMDB0005060,,LMFA01030130,bio/CHEMBL464983
m00008s,"""(11Z,14Z)-eicosadienoic acid""",dcs:CellularCompartmentExtracellular,C20H35O2,,,CHEMBL464983,C16525,MNXM11473,HMDB0005060,,LMFA01030130,bio/CHEMBL464983
m00009c,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentCytosol,C41H66N7O17P3S,,,,C16180,MNXM167435,HMDB0062215,,LMFA07050036,bio/HMDB0062215
m00009m,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H66N7O17P3S,,,,C16180,MNXM167435,HMDB0062215,,LMFA07050036,bio/HMDB0062215
m00009r,"""(11Z,14Z)-eicosadienoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C41H66N7O17P3S,,,,C16180,MNXM167435,HMDB0062215,,LMFA07050036,bio/HMDB0062215
m00010c,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentCytosol,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,HMDB0060039,,LMFA01030378,bio/CHEMBL453991
m00010l,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentLysosome,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,HMDB0060039,,LMFA01030378,bio/CHEMBL453991
m00010r,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,HMDB0060039,,LMFA01030378,bio/CHEMBL453991
m00010s,"""(11Z,14Z,17Z)-eicosatrienoic acid""",dcs:CellularCompartmentExtracellular,C20H33O2,,"""CHEBI:53460""",CHEMBL453991,C16522,MNXM8271,HMDB0060039,,LMFA01030378,bio/CHEMBL453991
m00011c,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentCytosol,C27H47NO4,,,,,,,,,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00011m,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentMitochondria,C27H47NO4,,,,,,,,,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00011r,"""(11Z,14Z,17Z)-eicosatrienoylcarnitine""",dcs:CellularCompartmentEndoplasmicReticulum,C27H47NO4,,,,,,,,,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine
m00012c,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentCytosol,C41H64N7O17P3S,,,,C16179,MNXM162872,HMDB0062216,,LMFA07050044,bio/HMDB0062216
m00012m,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentMitochondria,C41H64N7O17P3S,,,,C16179,MNXM162872,HMDB0062216,,LMFA07050044,bio/HMDB0062216
m00012r,"""(11Z,14Z,17Z)-eicosatrienoyl-CoA""",dcs:CellularCompartmentEndoplasmicReticulum,C41H64N7O17P3S,,,,C16179,MNXM162872,HMDB0062216,,LMFA07050044,bio/HMDB0062216
m00013c,"""(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate""",dcs:CellularCompartmentCytosol,C20H31O5,prostg1,"""CHEBI:15548""",,C04654,MNXM168925,HMDB0001320,5280710,,bio/HMDB0001320
m00014p,"""(13E)-tetranor-16-carboxy-LTE4""",dcs:CellularCompartmentPeroxisome,C19H25NO7S,,,,,MNXM150224,HMDB0012575,53481472,,bio/HMDB0012575
m00015p,"""(13E)-tetranor-16-oxo-16-CoA-LTE4""",dcs:CellularCompartmentPeroxisome,C40H56N8O22P3S2,,,,,MNXM33354,HMDB0012576,53481473,,bio/HMDB0012576
m00016c,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentCytosol,C43H72N7O17P3S,,,,C16531,MNXM11430,HMDB0062217,,LMFA07050057,bio/HMDB0062217
m00016m,"""(13Z)-docosenoyl-CoA""",dcs:CellularCompartmentMitochondria,C43H72N7O17P3S,,,,C16531,MNXM11430,HMDB0062217,,LMFA07050057,bio/HMDB0062217
