reactionID,metabolic_compartment_dcid
bio/HMR_3905,bio/m01249c
bio/HMR_3907,bio/m01249c
bio/HMR_8757,bio/m01249c
bio/HMR_4398,bio/m01249c
bio/HMR_4284,bio/m01249c
bio/HMR_6734,bio/m01249c
bio/HMR_1958,bio/m01249c
bio/HMR_4296,bio/m01249c
bio/HMR_0647,bio/m01249c
bio/HMR_3905,bio/m02039c
bio/HMR_3907,bio/m02039c
bio/HMR_4108,bio/m02039c
bio/HMR_4283,bio/m02039c
bio/HMR_4379,bio/m02039c
bio/HMR_4301,bio/m02039c
bio/HMR_4360,bio/m02039c
bio/HMR_4370,bio/m02039c
bio/HMR_4371,bio/m02039c
bio/HMR_4394,bio/m02039c
bio/HMR_7746,bio/m02039c
bio/HMR_7747,bio/m02039c
bio/HMR_4122,bio/m02039c
bio/HMR_5395,bio/m02039c
bio/HMR_5396,bio/m02039c
bio/HMR_9727,bio/m02039c
bio/HMR_4130,bio/m02039c
bio/HMR_4414,bio/m02039c
bio/HMR_4775,bio/m02039c
bio/HMR_8761,bio/m02039c
bio/HMR_0454,bio/m02039c
bio/HMR_4297,bio/m02039c
bio/HMR_4310,bio/m02039c
bio/HMR_4315,bio/m02039c
bio/HMR_4316,bio/m02039c
bio/HMR_4317,bio/m02039c
bio/HMR_4318,bio/m02039c
bio/HMR_4319,bio/m02039c
bio/HMR_4320,bio/m02039c
bio/HMR_4401,bio/m02039c
bio/HMR_4402,bio/m02039c
bio/HMR_4490,bio/m02039c
bio/HMR_4591,bio/m02039c
bio/HMR_4593,bio/m02039c
bio/HMR_4594,bio/m02039c
bio/HMR_8726,bio/m02039c
bio/HMR_8727,bio/m02039c
bio/HMR_8729,bio/m02039c
bio/HMR_1568,bio/m02039c
bio/HMR_3857,bio/m02039c
bio/HMR_3859,bio/m02039c
bio/HMR_4093,bio/m02039c
bio/HMR_8503,bio/m02039c
bio/HMR_8504,bio/m02039c
bio/HMR_8507,bio/m02039c
bio/HMR_8508,bio/m02039c
bio/HMR_8512,bio/m02039c
bio/HMR_8514,bio/m02039c
bio/HMR_8078,bio/m02039c
bio/HMR_5351,bio/m02039c
bio/HMR_4052,bio/m02039c
bio/HMR_9799,bio/m02039c
bio/HMR_9800,bio/m02039c
bio/HMR_4625,bio/m02039c
bio/HMR_8074,bio/m02039c
bio/HMR_3998,bio/m02039c
bio/HMR_4012,bio/m02039c
bio/HMR_4014,bio/m02039c
bio/HMR_4040,bio/m02039c
bio/HMR_4042,bio/m02039c
bio/HMR_4046,bio/m02039c
bio/HMR_4048,bio/m02039c
bio/HMR_4168,bio/m02039c
bio/HMR_4453,bio/m02039c
bio/HMR_4486,bio/m02039c
bio/HMR_4487,bio/m02039c
bio/HMR_4488,bio/m02039c
bio/HMR_4489,bio/m02039c
bio/HMR_4492,bio/m02039c
bio/HMR_4493,bio/m02039c
bio/HMR_4495,bio/m02039c
bio/HMR_4496,bio/m02039c
bio/HMR_4519,bio/m02039c
bio/HMR_4600,bio/m02039c
bio/HMR_4646,bio/m02039c
bio/HMR_4799,bio/m02039c
bio/HMR_4802,bio/m02039c
bio/HMR_4808,bio/m02039c
bio/HMR_4810,bio/m02039c
bio/HMR_5301,bio/m02039c
bio/HMR_6602,bio/m02039c
bio/HMR_6609,bio/m02039c
bio/HMR_7144,bio/m02039c
bio/HMR_3969,bio/m02039c
bio/HMR_4032,bio/m02039c
bio/HMR_4034,bio/m02039c
bio/HMR_4127,bio/m02039c
bio/HMR_4182,bio/m02039c
bio/HMR_4194,bio/m02039c
bio/HMR_4345,bio/m02039c
bio/HMR_4346,bio/m02039c
bio/HMR_4513,bio/m02039c
bio/HMR_4608,bio/m02039c
bio/HMR_4676,bio/m02039c
bio/HMR_4736,bio/m02039c
bio/HMR_5299,bio/m02039c
bio/HMR_5352,bio/m02039c
bio/HMR_6623,bio/m02039c
bio/HMR_3965,bio/m02039c
