reactionID,metabolic_compartment_dcid
bio/HMR_3905,bio/m01796c
bio/HMR_3907,bio/m01796c
bio/HMR_8757,bio/m01796c
bio/HMR_5000,bio/m01796c
bio/HMR_8756,bio/m01796c
bio/HMR_3905,bio/m02552c
bio/HMR_4122,bio/m02552c
bio/HMR_4315,bio/m02552c
bio/HMR_4591,bio/m02552c
bio/HMR_4593,bio/m02552c
bio/HMR_1568,bio/m02552c
bio/HMR_8503,bio/m02552c
bio/HMR_8504,bio/m02552c
bio/HMR_8507,bio/m02552c
bio/HMR_8508,bio/m02552c
bio/HMR_8512,bio/m02552c
bio/HMR_5351,bio/m02552c
bio/HMR_4040,bio/m02552c
bio/HMR_4519,bio/m02552c
bio/HMR_4646,bio/m02552c
bio/HMR_4344,bio/m02552c
bio/HMR_4778,bio/m02552c
bio/HMR_6953,bio/m02552c
bio/HMR_6954,bio/m02552c
bio/HMR_8605,bio/m02552c
bio/HMR_3839,bio/m02552c
bio/HMR_4696,bio/m02552c
bio/HMR_4697,bio/m02552c
bio/HMR_8442,bio/m02552c
bio/HMR_4431,bio/m02552c
bio/HMR_8784,bio/m02552c
bio/HMR_4737,bio/m02552c
bio/HMR_6981,bio/m02552c
bio/HMR_4683,bio/m02552c
bio/HMR_4703,bio/m02552c
bio/HMR_8530,bio/m02552c
bio/HMR_4797,bio/m02552c
bio/HMR_4233,bio/m02552c
bio/HMR_6714,bio/m02552c
bio/HMR_6748,bio/m02552c
bio/HMR_6753,bio/m02552c
bio/HMR_6760,bio/m02552c
bio/HMR_6766,bio/m02552c
bio/HMR_6785,bio/m02552c
bio/HMR_6790,bio/m02552c
bio/HMR_6519,bio/m02552c
bio/HMR_8068,bio/m02552c
bio/HMR_8685,bio/m02552c
bio/HMR_4689,bio/m02552c
bio/HMR_7993,bio/m02552c
bio/HMR_4533,bio/m02552c
bio/HMR_8775,bio/m02552c
bio/HMR_8780,bio/m02552c
bio/HMR_0990,bio/m02552c
bio/HMR_1065,bio/m02552c
bio/HMR_1066,bio/m02552c
bio/HMR_1067,bio/m02552c
bio/HMR_1068,bio/m02552c
bio/HMR_1069,bio/m02552c
bio/HMR_1070,bio/m02552c
bio/HMR_1100,bio/m02552c
bio/HMR_1129,bio/m02552c
bio/HMR_1941,bio/m02552c
bio/HMR_1949,bio/m02552c
bio/HMR_1951,bio/m02552c
bio/HMR_7930,bio/m02552c
bio/HMR_7973,bio/m02552c
bio/HMR_1967,bio/m02552c
bio/HMR_1970,bio/m02552c
bio/HMR_1982,bio/m02552c
bio/HMR_1496,bio/m02552c
bio/HMR_0456,bio/m02552c
bio/HMR_1979,bio/m02552c
bio/HMR_1325,bio/m02552c
bio/HMR_1608,bio/m02552c
bio/HMR_1611,bio/m02552c
bio/HMR_1692,bio/m02552c
bio/HMR_1738,bio/m02552c
bio/HMR_1766,bio/m02552c
bio/HMR_4263,bio/m02552c
bio/HMR_4269,bio/m02552c
bio/HMR_7143,bio/m02552c
bio/HMR_7623,bio/m02552c
bio/HMR_7625,bio/m02552c
bio/HMR_8758,bio/m02552c
bio/HMR_8349,bio/m02552c
bio/HMR_6631,bio/m02552c
bio/HMR_6646,bio/m02552c
bio/HMR_6675,bio/m02552c
bio/HMR_4559,bio/m02552c
bio/HMR_7035,bio/m02552c
bio/HMR_4202,bio/m02552c
bio/HMR_9487,bio/m02552c
bio/HMR_9563,bio/m02552c
bio/HMR_7774,bio/m02552c
bio/HMR_7773,bio/m02552c
bio/3HPPD,bio/m02552c
bio/ALDD21,bio/m02552c
bio/RE0512C,bio/m02552c
bio/RE1342C,bio/m02552c
bio/RE1525C,bio/m02552c
bio/RE1526C,bio/m02552c
bio/RE1527C,bio/m02552c
bio/RE1796C,bio/m02552c
bio/RE1804C,bio/m02552c
bio/RE2152C,bio/m02552c
bio/RE2908C,bio/m02552c
bio/RE2909C,bio/m02552c
bio/RE2910C,bio/m02552c
bio/RE3250C,bio/m02552c
bio/RE3338C,bio/m02552c
bio/RE3340C,bio/m02552c
bio/RE3448C,bio/m02552c
bio/RE3564C,bio/m02552c
bio/FAOXOHC16C16DCc,bio/m02552c
bio/FAOXOHC22C22DCc,bio/m02552c
bio/FAOXOHMC10DC10c,bio/m02552c
bio/NADtm,bio/m02552c
bio/15KPROSTGF2c,bio/m02552c
bio/PHLAC,bio/m02552c
bio/ABTD1,bio/m02552c
bio/RE3477C1,bio/m02552c
bio/UDPRIBc,bio/m02552c
bio/HMR_10064,bio/m02552c
bio/HMR_10066,bio/m02552c
bio/HMR_3907,bio/m02554c
bio/HMR_4283,bio/m02554c
bio/HMR_4360,bio/m02554c
bio/HMR_4316,bio/m02554c
bio/HMR_4594,bio/m02554c
bio/HMR_4089,bio/m02554c
bio/HMR_4474,bio/m02554c
bio/HMR_4345,bio/m02554c
bio/HMR_4780,bio/m02554c
bio/HMR_4698,bio/m02554c
bio/HMR_4220,bio/m02554c
bio/HMR_6749,bio/m02554c
bio/HMR_6754,bio/m02554c
bio/HMR_6761,bio/m02554c
bio/HMR_6767,bio/m02554c
bio/HMR_6791,bio/m02554c
bio/HMR_6814,bio/m02554c
bio/HMR_6819,bio/m02554c
bio/HMR_6823,bio/m02554c
bio/HMR_6826,bio/m02554c
bio/HMR_6834,bio/m02554c
bio/HMR_6840,bio/m02554c
bio/HMR_6854,bio/m02554c
bio/HMR_4079,bio/m02554c
bio/HMR_4534,bio/m02554c
bio/HMR_0710,bio/m02554c
bio/HMR_2546,bio/m02554c
bio/HMR_0973,bio/m02554c
bio/HMR_0980,bio/m02554c
bio/HMR_0989,bio/m02554c
bio/HMR_1040,bio/m02554c
bio/HMR_1093,bio/m02554c
bio/HMR_1098,bio/m02554c
bio/HMR_1116,bio/m02554c
bio/HMR_1123,bio/m02554c
bio/HMR_1197,bio/m02554c
bio/HMR_1244,bio/m02554c
bio/HMR_1280,bio/m02554c
bio/HMR_1990,bio/m02554c
bio/HMR_1991,bio/m02554c
bio/HMR_2002,bio/m02554c
bio/HMR_2003,bio/m02554c
bio/HMR_1495,bio/m02554c
bio/HMR_1500,bio/m02554c
bio/HMR_1505,bio/m02554c
bio/HMR_1546,bio/m02554c
bio/HMR_1551,bio/m02554c
bio/HMR_8219,bio/m02554c
bio/HMR_7591,bio/m02554c
bio/HMR_1996,bio/m02554c
bio/HMR_1326,bio/m02554c
bio/HMR_1327,bio/m02554c
bio/HMR_1830,bio/m02554c
bio/HMR_4270,bio/m02554c
bio/HMR_7627,bio/m02554c
bio/HMR_4336,bio/m02554c
bio/HMR_6630,bio/m02554c
bio/HMR_8699,bio/m02554c
bio/HMR_7005,bio/m02554c
bio/HMR_9501,bio/m02554c
bio/HMR_9725,bio/m02554c
bio/RDH2a,bio/m02554c
bio/r0701,bio/m02554c
bio/RE1807C,bio/m02554c
bio/RE1827C,bio/m02554c
bio/RE1829C,bio/m02554c
bio/RE1830C,bio/m02554c
bio/RE2626C,bio/m02554c
bio/RE2633C,bio/m02554c
bio/RE3470C,bio/m02554c
bio/G6PDH2c,bio/m02554c
bio/GNDc,bio/m02554c
bio/INDOXYLF,bio/m02554c
bio/AM1ALCShr,bio/m02554c
bio/DHGLZhc,bio/m02554c
bio/NFDOXDhc,bio/m02554c
bio/HMR_10064,bio/m02554c
bio/HMR_10071,bio/m02554c
bio/HMR_10072,bio/m02554c
bio/HMR_4097,bio/m01252c
bio/HMR_4133,bio/m01252c
bio/HMR_6001,bio/m01252c
bio/HMR_6015,bio/m01252c
bio/HMR_6031,bio/m01252c
bio/HMR_6032,bio/m01252c
bio/HMR_6034,bio/m01252c
bio/HMR_6035,bio/m01252c
bio/HMR_5292,bio/m01252c
bio/HMR_8496,bio/m01252c
bio/ACt2m,bio/m01252c
bio/HMR_4097,bio/m01371c
bio/HMR_4133,bio/m01371c
bio/HMR_4379,bio/m01371c
bio/HMR_4394,bio/m01371c
bio/HMR_7746,bio/m01371c
bio/HMR_4130,bio/m01371c
bio/HMR_4414,bio/m01371c
bio/HMR_8761,bio/m01371c
bio/HMR_0454,bio/m01371c
bio/HMR_4297,bio/m01371c
bio/HMR_4310,bio/m01371c
bio/HMR_4317,bio/m01371c
bio/HMR_4318,bio/m01371c
bio/HMR_4319,bio/m01371c
bio/HMR_4320,bio/m01371c
bio/HMR_4402,bio/m01371c
bio/HMR_4490,bio/m01371c
bio/HMR_8726,bio/m01371c
bio/HMR_0153,bio/m01371c
bio/HMR_4459,bio/m01371c
bio/HMR_1436,bio/m01371c
bio/HMR_4052,bio/m01371c
bio/HMR_9799,bio/m01371c
bio/HMR_9800,bio/m01371c
bio/HMR_8074,bio/m01371c
bio/HMR_4000,bio/m01371c
bio/HMR_4012,bio/m01371c
bio/HMR_4046,bio/m01371c
bio/HMR_4453,bio/m01371c
bio/HMR_4600,bio/m01371c
bio/HMR_4611,bio/m01371c
bio/HMR_4799,bio/m01371c
bio/HMR_4802,bio/m01371c
bio/HMR_4808,bio/m01371c
bio/HMR_4810,bio/m01371c
bio/HMR_4032,bio/m01371c
bio/HMR_4034,bio/m01371c
bio/HMR_4194,bio/m01371c
bio/HMR_4513,bio/m01371c
bio/HMR_5299,bio/m01371c
bio/HMR_4054,bio/m01371c
bio/HMR_4180,bio/m01371c
bio/HMR_4185,bio/m01371c
bio/HMR_4186,bio/m01371c
bio/HMR_4633,bio/m01371c
bio/HMR_4641,bio/m01371c
bio/HMR_7161,bio/m01371c
bio/HMR_3811,bio/m01371c
bio/HMR_3890,bio/m01371c
bio/HMR_3903,bio/m01371c
bio/HMR_4606,bio/m01371c
bio/HMR_0457,bio/m01371c
bio/HMR_4584,bio/m01371c
bio/HMR_5392,bio/m01371c
bio/HMR_9718,bio/m01371c
bio/HMR_6784,bio/m01371c
bio/HMR_8794,bio/m01371c
bio/HMR_3875,bio/m01371c
bio/HMR_3889,bio/m01371c
bio/HMR_4324,bio/m01371c
bio/HMR_4326,bio/m01371c
bio/HMR_8771,bio/m01371c
bio/HMR_4425,bio/m01371c
bio/HMR_7128,bio/m01371c
bio/HMR_7129,bio/m01371c
bio/HMR_7132,bio/m01371c
bio/HMR_7139,bio/m01371c
bio/HMR_7620,bio/m01371c
bio/HMR_4494,bio/m01371c
bio/HMR_4524,bio/m01371c
bio/HMR_4528,bio/m01371c
bio/HMR_8366,bio/m01371c
bio/HMR_5130,bio/m01371c
bio/HMR_5131,bio/m01371c
bio/HMR_5132,bio/m01371c
bio/HMR_5133,bio/m01371c
bio/HMR_5134,bio/m01371c
bio/HMR_5135,bio/m01371c
bio/HMR_5136,bio/m01371c
bio/HMR_5137,bio/m01371c
bio/HMR_5138,bio/m01371c
bio/HMR_5139,bio/m01371c
bio/HMR_5140,bio/m01371c
bio/HMR_5141,bio/m01371c
bio/HMR_5142,bio/m01371c
bio/HMR_5143,bio/m01371c
bio/HMR_5145,bio/m01371c
bio/HMR_5146,bio/m01371c
bio/HMR_5147,bio/m01371c
bio/HMR_5148,bio/m01371c
bio/HMR_5149,bio/m01371c
bio/HMR_5150,bio/m01371c
bio/HMR_5151,bio/m01371c
bio/HMR_5152,bio/m01371c
bio/HMR_5153,bio/m01371c
bio/HMR_5154,bio/m01371c
bio/HMR_5155,bio/m01371c
bio/HMR_5156,bio/m01371c
bio/HMR_5157,bio/m01371c
bio/HMR_5158,bio/m01371c
bio/HMR_5159,bio/m01371c
bio/HMR_5160,bio/m01371c
bio/HMR_5161,bio/m01371c
bio/HMR_5162,bio/m01371c
bio/HMR_5163,bio/m01371c
bio/HMR_5164,bio/m01371c
bio/HMR_5165,bio/m01371c
bio/HMR_5166,bio/m01371c
bio/HMR_5167,bio/m01371c
bio/HMR_5168,bio/m01371c
bio/HMR_5169,bio/m01371c
bio/HMR_5170,bio/m01371c
bio/HMR_5171,bio/m01371c
bio/HMR_5172,bio/m01371c
bio/HMR_5173,bio/m01371c
bio/HMR_5174,bio/m01371c
bio/HMR_7617,bio/m01371c
bio/HMR_5258,bio/m01371c
bio/HMR_5260,bio/m01371c
bio/HMR_5262,bio/m01371c
bio/HMR_5264,bio/m01371c
bio/HMR_5266,bio/m01371c
