id,reversible,fast,ec,kegg,bigg,metanetx,reactome,tcdb,dcid,fluxRange
HMR_3905,False,False,1.1.1.1; 1.1.1.71,R00754,ALCD2x,MNXR95725,,,bio/HMR_3905,[0 1000 mmol/gDW]
HMR_3907,False,False,1.1.1.2,R00746,ALCD2y,MNXR95726,,,bio/HMR_3907,[0 1000 mmol/gDW]
HMR_4097,False,False,6.2.1.1,R00235,ACS,MNXR95413,,,bio/HMR_4097,[0 1000 mmol/gDW]
HMR_4099,False,False,6.2.1.1,R00235,ACSm,MNXR95413,,,bio/HMR_4099,[0 1000 mmol/gDW]
HMR_4108,False,False,6.2.1.1,R00236,,MNXR105304,,,bio/HMR_4108,[0 1000 mmol/gDW]
HMR_4133,False,False,6.2.1.1,R00316,,MNXR105307,,,bio/HMR_4133,[0 1000 mmol/gDW]
HMR_4137,False,False,1.2.4.1; 2.3.1.12; 1.8.1.4; 1.2.1.51,R00209,PDHm,MNXR102425,,,bio/HMR_4137,[0 1000 mmol/gDW]
HMR_4281,True,False,1.1.1.27,R00703,,MNXR101040,,,bio/HMR_4281,[-1000 1000 mmol/gDW]
HMR_4388,True,False,1.1.1.27,R00703,LDH_L,MNXR101040,,,bio/HMR_4388,[-1000 1000 mmol/gDW]
HMR_4283,False,False,1.2.1.5,R00711,,MNXR95750,,,bio/HMR_4283,[0 1000 mmol/gDW]
HMR_8357,False,False,1.2.1.3,R00710,ALDD2xm,MNXR106570,,,bio/HMR_8357,[0 1000 mmol/gDW]
HMR_4379,False,False,2.7.1.11,R00756,PFK,MNXR102507,,,bio/HMR_4379,[0 1000 mmol/gDW]
HMR_4301,False,False,2.7.1.11,R00769,,MNXR105312,,,bio/HMR_4301,[0 1000 mmol/gDW]
HMR_4355,False,False,4.1.2.13,R01829,,MNXR105337,,,bio/HMR_4355,[0 1000 mmol/gDW]
HMR_4358,False,False,2.7.1.40,R00200,PYK,MNXR103371,,,bio/HMR_4358,[0 1000 mmol/gDW]
HMR_4360,False,False,1.2.1.49,R00205,,MNXR95787,,,bio/HMR_4360,[0 1000 mmol/gDW]
HMR_4363,True,False,4.2.1.11,R00658,ENO,MNXR97932,,,bio/HMR_4363,[-1000 1000 mmol/gDW]
HMR_4365,True,False,5.4.2.11,R01518,PGM,MNXR102547,,,bio/HMR_4365,[-1000 1000 mmol/gDW]
HMR_4368,True,False,2.7.2.3,R01512,PGK,MNXR102538,,,bio/HMR_4368,[-1000 1000 mmol/gDW]
HMR_4370,False,False,3.6.1.7,R01515,ACYP,MNXR95410,,,bio/HMR_4370,[0 1000 mmol/gDW]
HMR_4371,False,False,5.4.2.1; 5.4.2.4,R01662,,MNXR107112,,,bio/HMR_4371,[0 1000 mmol/gDW]
HMR_4372,False,False,3.1.3.13,R01516,,MNXR107035,,,bio/HMR_4372,[0 1000 mmol/gDW]
HMR_4373,True,False,1.2.1.12,R01061,GAPD,MNXR100040,,,bio/HMR_4373,[-1000 1000 mmol/gDW]
HMR_4375,True,False,4.1.2.13,R01068,FBA,MNXR99459,,,bio/HMR_4375,[-1000 1000 mmol/gDW]
HMR_4377,False,False,3.1.3.11,R00762,FBP,MNXR106670,,,bio/HMR_4377,[0 1000 mmol/gDW]
HMR_4381,True,False,5.3.1.9,R00771,PGI,MNXR102535,,,bio/HMR_4381,[-1000 1000 mmol/gDW]
HMR_4391,True,False,5.3.1.1,R01015,TPI,MNXR104918,,,bio/HMR_4391,[-1000 1000 mmol/gDW]
HMR_4394,False,False,2.7.1.1; 2.7.1.2; 2.7.1.147,R00299,HEX1,MNXR100612,,,bio/HMR_4394,[0 1000 mmol/gDW]
HMR_4396,True,False,5.4.2.2; 5.4.2.5; 5.4.2.6; 5.2.2.2,R08639,PGMT,MNXR102528,,,bio/HMR_4396,[-1000 1000 mmol/gDW]
HMR_4521,False,False,3.1.3.9,R00303,G6PPer,MNXR99912,,,bio/HMR_4521,[0 1000 mmol/gDW]
HMR_6410,False,False,1.2.4.1,R01699,,MNXR102427,,,bio/HMR_6410,[0 1000 mmol/gDW]
HMR_6412,False,False,2.3.1.12,R02569,,MNXR102430,,,bio/HMR_6412,[0 1000 mmol/gDW]
HMR_7745,True,False,5.1.3.3,R01602,,MNXR107082,,,bio/HMR_7745,[-1000 1000 mmol/gDW]
HMR_7746,False,False,2.7.1.1; 2.7.1.2,R01600,,MNXR107081,,,bio/HMR_7746,[0 1000 mmol/gDW]
HMR_7747,False,False,2.7.1.147,R09086,,MNXR112530,,,bio/HMR_7747,[0 1000 mmol/gDW]
HMR_7748,True,False,5.3.1.9,R02739,,MNXR99911,,,bio/HMR_7748,[-1000 1000 mmol/gDW]
HMR_7749,True,False,5.3.1.9,R03321,,MNXR99910,,,bio/HMR_7749,[-1000 1000 mmol/gDW]
HMR_8360,False,False,1.11.1.6,,CAt7r,MNXR96461,,,bio/HMR_8360,[0 1000 mmol/gDW]
HMR_8652,False,False,3.1.3.9,,CBPS,MNXR96485,,,bio/HMR_8652,[0 1000 mmol/gDW]
HMR_8757,False,False,,,ETOHtx,MNXR97980,,,bio/HMR_8757,[0 1000 mmol/gDW]
HMR_3989,False,False,3.2.1.20,R00028,MALTe,MNXR101350,,,bio/HMR_3989,[0 1000 mmol/gDW]
HMR_4122,False,False,1.1.1.22,R00286,UDPGD,MNXR105063,,,bio/HMR_4122,[0 1000 mmol/gDW]
HMR_4837,False,False,3.2.1.28,R00010,TREHe,MNXR95163,,,bio/HMR_4837,[0 1000 mmol/gDW]
HMR_5395,False,False,2.4.1.186,R03681,,,,,bio/HMR_5395,[0 1000 mmol/gDW]
HMR_5396,False,False,2.4.1.11,,GLGNS1,MNXR100244,,,bio/HMR_5396,[0 1000 mmol/gDW]
HMR_9727,False,False,2.4.1.11,,,,,,bio/HMR_9727,[0 1000 mmol/gDW]
HMR_5397,False,False,2.4.1.18,,GLBRAN,MNXR100154,,,bio/HMR_5397,[0 1000 mmol/gDW]
HMR_5398,False,False,2.4.1.1,,GLPASE1,MNXR100265,,,bio/HMR_5398,[0 1000 mmol/gDW]
HMR_5399,False,False,2.4.1.25,,,MNXR105467,,,bio/HMR_5399,[0 1000 mmol/gDW]
HMR_5400,False,False,3.2.1.33,,,MNXR105468,,,bio/HMR_5400,[0 1000 mmol/gDW]
HMR_5401,False,False,2.4.1.1,,,,,,bio/HMR_5401,[0 1000 mmol/gDW]
HMR_8568,False,False,3.2.1.1,,,MNXR103496,,,bio/HMR_8568,[0 1000 mmol/gDW]
HMR_8569,False,False,3.2.1.1,,,MNXR103497,,,bio/HMR_8569,[0 1000 mmol/gDW]
HMR_8570,False,False,3.2.1.1,,,,,,bio/HMR_8570,[0 1000 mmol/gDW]
HMR_8571,False,False,3.2.1.1,,,,,,bio/HMR_8571,[0 1000 mmol/gDW]
HMR_8572,False,False,3.2.1.1,,,MNXR103495,,,bio/HMR_8572,[0 1000 mmol/gDW]
HMR_8573,False,False,3.2.1.1,,,MNXR101623,,,bio/HMR_8573,[0 1000 mmol/gDW]
HMR_8574,False,False,3.2.1.1,,,MNXR103491,,,bio/HMR_8574,[0 1000 mmol/gDW]
HMR_8575,False,False,3.2.1.1,,,MNXR101622,,,bio/HMR_8575,[0 1000 mmol/gDW]
HMR_8576,False,False,3.2.1.1,,,MNXR103488,,,bio/HMR_8576,[0 1000 mmol/gDW]
HMR_8577,False,False,3.2.1.1,,,MNXR101621,,,bio/HMR_8577,[0 1000 mmol/gDW]
HMR_8578,False,False,3.2.1.1,,,MNXR103479,,,bio/HMR_8578,[0 1000 mmol/gDW]
HMR_8579,False,False,3.2.1.1,,,MNXR101620,,,bio/HMR_8579,[0 1000 mmol/gDW]
HMR_8581,False,False,3.2.1.1,,,,,,bio/HMR_8581,[0 1000 mmol/gDW]
HMR_8591,False,False,3.2.1.20,,MLTG1,MNXR101619,,,bio/HMR_8591,[0 1000 mmol/gDW]
HMR_8592,False,False,3.2.1.20,,MLTG1ly,MNXR101619,,,bio/HMR_8592,[0 1000 mmol/gDW]
HMR_8580,False,False,3.2.1.1,,,,,,bio/HMR_8580,[0 1000 mmol/gDW]
HMR_8582,False,False,3.2.1.1,,,,,,bio/HMR_8582,[0 1000 mmol/gDW]
HMR_8587,False,False,3.2.1.20,R00028,MALT,MNXR101350,,,bio/HMR_8587,[0 1000 mmol/gDW]
HMR_8589,False,False,3.2.1.20,R00028,MALTly,MNXR101350,,,bio/HMR_8589,[0 1000 mmol/gDW]
HMR_8583,False,False,3.2.1.3,R01790,AMY1e,MNXR107171,,,bio/HMR_8583,[0 1000 mmol/gDW]
HMR_8584,False,False,3.2.1.10,,O16G2e,MNXR102084,,,bio/HMR_8584,[0 1000 mmol/gDW]
HMR_8585,False,False,2.7.1.106,R01660,,MNXR107111,,,bio/HMR_8585,[0 1000 mmol/gDW]
HMR_3944,False,False,2.7.7.9,R00289,GALUi,MNXR100022,,,bio/HMR_3944,[0 1000 mmol/gDW]
HMR_4128,True,False,5.1.3.2,R00291,UDPG4E,MNXR105057,,,bio/HMR_4128,[-1000 1000 mmol/gDW]
HMR_4130,False,False,2.7.1.6,,GALKr,MNXR99985,,,bio/HMR_4130,[0 1000 mmol/gDW]
HMR_4131,True,False,2.7.7.12,R00955,UGLT,MNXR105090,,,bio/HMR_4131,[-1000 1000 mmol/gDW]
HMR_4132,False,False,2.7.7.12,R00955,,MNXR105090,,,bio/HMR_4132,[0 1000 mmol/gDW]
HMR_4303,False,False,3.2.1.10; 3.2.1.20; 3.2.1.48,R00801,SUCRe,MNXR104638,,,bio/HMR_4303,[0 1000 mmol/gDW]
HMR_4414,False,False,2.7.1.6,R01092,,MNXR99985,,,bio/HMR_4414,[0 1000 mmol/gDW]
HMR_4415,False,False,3.2.1.23; 3.2.1.108,R01100,LACZe,MNXR101000,,,bio/HMR_4415,[0 1000 mmol/gDW]
HMR_4416,False,False,3.2.1.22; 3.2.1.23,R01104,,MNXR100115,,,bio/HMR_4416,[0 1000 mmol/gDW]
HMR_4774,True,False,2.7.1.11,R03237,,MNXR105355,,,bio/HMR_4774,[-1000 1000 mmol/gDW]
HMR_4775,True,False,2.7.1.11,R03239,,MNXR105356,,,bio/HMR_4775,[-1000 1000 mmol/gDW]
HMR_4831,True,False,1.1.99.13,R01680,,MNXR107115,,,bio/HMR_4831,[-1000 1000 mmol/gDW]
HMR_4832,True,False,3.2.1.23,R04783,,MNXR105374,,,bio/HMR_4832,[-1000 1000 mmol/gDW]
HMR_7674,False,False,2.4.1.22,R00503,UGALGTg,MNXR105080,,,bio/HMR_7674,[0 1000 mmol/gDW]
HMR_8761,False,False,2.7.1.3,R02927,KHK3,MNXR100938,,,bio/HMR_8761,[0 1000 mmol/gDW]
HMR_8762,True,False,4.1.2.13,,FBP26,MNXR99466,,,bio/HMR_8762,[-1000 1000 mmol/gDW]
HMR_8764,False,False,3.2.1.108,R06114,LACZly,MNXR101000,,,bio/HMR_8764,[0 1000 mmol/gDW]
HMR_8766,True,False,1.1.1.21,R01095,GALSIDEtl,MNXR100012,,,bio/HMR_8766,[-1000 1000 mmol/gDW]
HMR_8767,False,False,2.7.7.12,R00502,GALt2_2,MNXR100027,,,bio/HMR_8767,[0 1000 mmol/gDW]
HMR_0454,False,False,2.7.1.28,R01059,TRIOK,MNXR104940,,,bio/HMR_0454,[0 1000 mmol/gDW]
HMR_4297,False,False,2.7.1.105,R00757,PFK26,MNXR102508,,,bio/HMR_4297,[0 1000 mmol/gDW]
HMR_4310,False,False,2.7.1.3,R00866,KHK,MNXR100936,,,bio/HMR_4310,[0 1000 mmol/gDW]
HMR_4315,True,False,1.1.1.14,R00875,,MNXR104283,,,bio/HMR_4315,[-1000 1000 mmol/gDW]
HMR_4316,True,False,1.1.1.21,R01787,,MNXR104287,,,bio/HMR_4316,[-1000 1000 mmol/gDW]
HMR_4317,False,False,2.7.1.-,,,MNXR103725,,,bio/HMR_4317,[0 1000 mmol/gDW]
