accession,protein_type,general_function,specific_function,subcellular_location,residue_number,genbank_protein_id,uniprot_id,genbank_gene_id,genecard_id,hgnc_id,protein_dcid,gene19_dcid,gene38_dcid
HMDBP00001,dcs:ProteinTypeUnknown,"""Involved in hydrolase activity""","""Hydrolyzes extracellular nucleotides into membrane permeable nucleosides.""",dcs:CellularCompartmentCellMembrane,574,23897,P21589,X55740,NT5E,8021,bio/5NTD_HUMAN,bio/hg19_NT5E,bio/hg38_NT5E
HMDBP00002,dcs:ProteinTypeUnknown,"""Involved in zinc ion binding""","""Supplies the nucleotide substrate for thymidylate synthetase.""",dcs:CellularCompartmentCytoplasm,178,61742819,P32321,NM_001921.2,DCTD,2710,bio/DCTD_HUMAN,bio/hg19_DCTD,bio/hg38_DCTD
HMDBP00003,dcs:ProteinTypeUnknown,"""Involved in ATP binding""","""Catalyzes specific phosphoryl transfer from ATP to UMP and CMP.""",dcs:CellularCompartmentNucleus,196,33150592,P30085,AF087865,CMPK1,18170,bio/KCY_HUMAN,bio/hg19_CMPK1,bio/hg38_CMPK1
HMDBP00004,dcs:ProteinTypeUnknown,"""Involved in nucleotide binding""","""Dephosphorylates the 5' and 2'(3')-phosphates of deoxyribonucleotides. Helps to regulate adenosine levels (By similarity).""",dcs:CellularCompartmentCytoplasm,610,50593110,Q96P26,NM_001002006.2,NT5C1B,17818,bio/5NT1B_HUMAN,bio/hg19_NT5C1B,bio/hg38_NT5C1B
HMDBP00005,dcs:ProteinTypeUnknown,"""Involved in nucleotide binding""","""Dephosphorylates the 5' and 2'(3')-phosphates of deoxyribonucleotides and has a broad substrate specificity. Helps to regulate adenosine levels in heart during ischemia and hypoxia.""",dcs:CellularCompartmentCytoplasm,368,12659324,Q9BXI3,AF331801,NT5C1A,17819,bio/5NT1A_HUMAN,bio/hg19_NT5C1A,bio/hg38_NT5C1A
HMDBP00006,dcs:ProteinTypeUnknown,"""Involved in metal ion binding""","""Dephosphorylates the 5' and 2'(3')-phosphates of deoxyribonucleotides, with a preference for dUMP and dTMP, intermediate activity towards dGMP, and low activity towards dCMP and dAMP.""",dcs:CellularCompartmentCytoplasm,201,7524492,Q8TCD5,AF154829,NT5C,17144,bio/NT5C_HUMAN,bio/hg19_NT5C,bio/hg38_NT5C
HMDBP00007,dcs:ProteinTypeEnzyme,"""Involved in ATP binding""","""Required for the phosphorylation of the deoxyribonucleosides deoxycytidine (dC), deoxyguanosine (dG) and deoxyadenosine (dA). Has broad substrate specificity, and does not display selectivity based on the chirality of the substrate. It is also an essential enzyme for the phosphorylation of numerous nucleoside analogs widely employed as antiviral and chemotherapeutic agents.""",dcs:CellularCompartmentNucleus,260,,P27707,M60527,DCK,2704,bio/DCK_HUMAN,bio/hg19_DCK,bio/hg38_DCK
HMDBP00008,dcs:ProteinTypeUnknown,"""Involved in phosphatase activity""","""Dephosphorylates specifically the 5' and 2'(3')-phosphates of uracil and thymine deoxyribonucleotides, and so protects mitochondrial DNA replication from excess dTTP. Has only marginal activity towards dIMP and dGMP.""",dcs:CellularCompartmentMitochondrion,228,,Q9NPB1,AF210652,NT5M,15769,bio/NT5M_HUMAN,bio/hg19_NT5M,bio/hg38_NT5M
HMDBP00009,dcs:ProteinTypeEnzyme,"""Involved in catalytic activity""","""Key enzyme in ketogenesis (ketone body formation). Terminal step in leucine catabolism.""",dcs:CellularCompartmentMitochondrionMatrix,325,14714839,P35914,BC010570,HMGCL,5005,bio/HMGCL_HUMAN,bio/hg19_HMGCL,bio/hg38_HMGCL
HMDBP00010,dcs:ProteinTypeEnzyme,"""Involved in ATP citrate synthase activity""","""ATP citrate-lyase is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA in many tissues. Has a central role in de novo lipid synthesis. In nervous tissue it may be involved in the biosynthesis of acetylcholine.""",dcs:CellularCompartmentCytoplasm,1101,13623199,P53396,BC006195,ACLY,115,bio/ACLY_HUMAN,bio/hg19_ACLY,bio/hg38_ACLY
HMDBP00011,dcs:ProteinTypeUnknown,"""Involved in transcription cofactor activity""","""Functions as histone acetyltransferase and regulates transcription via chromatin remodeling. Acetylates all four core histones in nucleosomes. Histone acetylation gives an epigenetic tag for transcriptional activation. Mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein. Also functions as acetyltransferase for nonhistone targets. Acetylates 'Lys-131' of ALX1 and acts as its coactivator in the presence of CREBBP. Acetylates SIRT2 and is proposed to indirectly increase the transcriptional activity of TP53 through acetylation and subsequent attenuation of SIRT2 deacetylase function. Acetylates HDAC1 leading to its inactivation and modulation of transcription. Acts as a TFAP2A-mediated transcriptional coactivator in presence of CITED2. Plays a role as a coactivator of NEUROD1-dependent transcription of the secretin and p21 genes and controls terminal differentiation of cells in the intestinal epithelium. Promotes cardiac myocyte enlargement. Can also mediate transcriptional repression. Binds to and may be involved in the transforming capacity of the adenovirus E1A protein. In case of HIV-1 infection, it is recruited by the viral protein Tat. Regulates Tat's transactivating activity and may help inducing chromatin remodeling of proviral genes. Acetylates FOXO1 and enhances its transcriptional activity.""",dcs:CellularCompartmentNucleus,2414,56202870,Q09472,AL035658,EP300,3373,bio/EP300_HUMAN,bio/hg19_EP300,bio/hg38_EP300
HMDBP00012,dcs:ProteinTypeEnzyme,"""Involved in catalytic activity""","""The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links the glycolytic pathway to the tricarboxylic cycle.""",dcs:CellularCompartmentMitochondrionMatrix,359,189053605,P11177,AK313022,PDHB,8808,bio/ODPB_HUMAN,bio/hg19_PDHB,bio/hg38_PDHB
HMDBP00013,dcs:ProteinTypeEnzyme,"""Involved in transferase activity, transferring acyl groups other than amino-acyl groups""","""nan""",dcs:CellularCompartmentCytoplasm,397,19880019,Q9BWD1,AF356877,ACAT2,94,bio/THIC_HUMAN,bio/hg19_ACAT2,bio/hg38_ACAT2
HMDBP00014,dcs:ProteinTypeUnknown,"""Involved in transcription cofactor activity""","""Acetylates histones, giving a specific tag for transcriptional activation. Also acetylates non-histone proteins, like NCOA3 and FOXO1. Binds specifically to phosphorylated CREB and enhances its transcriptional activity toward cAMP-responsive genes. Acts as a coactivator of ALX1 in the presence of EP300.""",dcs:CellularCompartmentNucleus,2442,68533141,Q92793,U85962,CREBBP,2348,bio/CBP_HUMAN,bio/hg19_CREBBP,bio/hg38_CREBBP
HMDBP00015,dcs:ProteinTypeEnzyme,"""Involved in N-acetyltransferase activity""","""Enzyme which catalyzes the acetylation of polyamines. Substrate specificity: norspermidine > spermidine = spermine >> N(1)acetylspermine = putrescine.""",dcs:CellularCompartmentCytoplasm,170,,Q96F10,AF348524,SAT2,23160,bio/SAT2_HUMAN,bio/hg19_SAT2,bio/hg38_SAT2
