accession,protein_pathway,protein_dcid
HMDBP00001,dcs:KeggProteinPathwayNicotinateAndNicotinamideMetabolism,bio/5NTD_HUMAN
HMDBP00001,dcs:KeggProteinPathwayPurineMetabolism,bio/5NTD_HUMAN
HMDBP00001,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/5NTD_HUMAN
HMDBP00002,dcs:KeggProteinPathwayBetaUreidopropionaseDeficiency,bio/DCTD_HUMAN
HMDBP00002,dcs:KeggProteinPathwayDihydropyrimidinaseDeficiency,bio/DCTD_HUMAN
HMDBP00002,dcs:KeggProteinPathwayGemcitabineActionPathway,bio/DCTD_HUMAN
HMDBP00002,dcs:KeggProteinPathwayGemcitabineMetabolismPathway,bio/DCTD_HUMAN
HMDBP00002,dcs:KeggProteinPathwayMngieMitochondrialNeurogastrointestinalEncephalopathy,bio/DCTD_HUMAN
HMDBP00002,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/DCTD_HUMAN
HMDBP00002,dcs:KeggProteinPathwayUmpSynthaseDeficiencyOroticAciduria,bio/DCTD_HUMAN
HMDBP00003,dcs:KeggProteinPathwayCongenitalDisorderOfGlycosylationCdgIid,bio/KCY_HUMAN
HMDBP00003,dcs:KeggProteinPathwayGemcitabineActionPathway,bio/KCY_HUMAN
HMDBP00003,dcs:KeggProteinPathwayGemcitabineMetabolismPathway,bio/KCY_HUMAN
HMDBP00003,dcs:KeggProteinPathwayGlut1DeficiencySyndrome,bio/KCY_HUMAN
HMDBP00003,dcs:KeggProteinPathwayLactoseSynthesis,bio/KCY_HUMAN
HMDBP00003,dcs:KeggProteinPathwayLamivudineMetabolismPathway,bio/KCY_HUMAN
HMDBP00003,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/KCY_HUMAN
HMDBP00004,dcs:KeggProteinPathwayNicotinateAndNicotinamideMetabolism,bio/5NT1B_HUMAN
HMDBP00004,dcs:KeggProteinPathwayPurineMetabolism,bio/5NT1B_HUMAN
HMDBP00004,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/5NT1B_HUMAN
HMDBP00005,dcs:KeggProteinPathwayNicotinateAndNicotinamideMetabolism,bio/5NT1A_HUMAN
HMDBP00005,dcs:KeggProteinPathwayPurineMetabolism,bio/5NT1A_HUMAN
HMDBP00005,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/5NT1A_HUMAN
HMDBP00006,dcs:KeggProteinPathwayGemcitabineActionPathway,bio/NT5C_HUMAN
HMDBP00006,dcs:KeggProteinPathwayGemcitabineMetabolismPathway,bio/NT5C_HUMAN
HMDBP00006,dcs:KeggProteinPathwayLamivudineMetabolismPathway,bio/NT5C_HUMAN
HMDBP00006,dcs:KeggProteinPathwayNicotinateAndNicotinamideMetabolism,bio/NT5C_HUMAN
HMDBP00006,dcs:KeggProteinPathwayPurineMetabolism,bio/NT5C_HUMAN
HMDBP00006,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/NT5C_HUMAN
HMDBP00007,dcs:KeggProteinPathwayGemcitabineActionPathway,bio/DCK_HUMAN
HMDBP00007,dcs:KeggProteinPathwayGemcitabineMetabolismPathway,bio/DCK_HUMAN
HMDBP00007,dcs:KeggProteinPathwayLamivudineMetabolismPathway,bio/DCK_HUMAN
HMDBP00007,dcs:KeggProteinPathwayPurineMetabolism,bio/DCK_HUMAN
HMDBP00007,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/DCK_HUMAN
HMDBP00008,dcs:KeggProteinPathwayNicotinateAndNicotinamideMetabolism,bio/NT5M_HUMAN
HMDBP00008,dcs:KeggProteinPathwayPurineMetabolism,bio/NT5M_HUMAN
HMDBP00008,dcs:KeggProteinPathwayPyrimidineMetabolism,bio/NT5M_HUMAN
HMDBP00009,dcs:KeggProteinPathwayS3Hydroxy3MethylglutarylCoaDegradation,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathway2Methyl3HydroxybutrylCoaDehydrogenaseDeficiency,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathway3Hydroxy3MethylglutarylCoaLyaseDeficiency,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathway3HydroxyisobutyricAcidDehydrogenaseDeficiency,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathway3HydroxyisobutyricAciduria,bio/HMGCL_HUMAN
