go_category,go_description,go_id,accession,protein_dcid,go_dcid
dcs:GeneOntologyTypeBiologicalProcess,purine nucleobase metabolic process,"""GO:0006144""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0006144
dcs:GeneOntologyTypeBiologicalProcess,purine nucleotide catabolic process,"""GO:0006195""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0006195
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleobase metabolic process,"""GO:0006206""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0006206
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleoside catabolic process,"""GO:0046135""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0046135
dcs:GeneOntologyTypeBiologicalProcess,adenosine biosynthetic process,"""GO:0046086""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0046086
dcs:GeneOntologyTypeBiologicalProcess,AMP catabolic process,"""GO:0006196""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0006196
dcs:GeneOntologyTypeBiologicalProcess,DNA metabolic process,"""GO:0006259""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0006259
dcs:GeneOntologyTypeBiologicalProcess,negative regulation of inflammatory response,"""GO:0050728""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0050728
dcs:GeneOntologyTypeBiologicalProcess,purine nucleotide biosynthetic process,"""GO:0006164""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0006164
dcs:GeneOntologyTypeCellularComponent,cytoplasm,"""GO:0005737""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0005737
dcs:GeneOntologyTypeCellularComponent,anchored to membrane,"""GO:0031225""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0031225
dcs:GeneOntologyTypeCellularComponent,extracellular vesicular exosome,"""GO:0070062""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0070062
dcs:GeneOntologyTypeCellularComponent,plasma membrane,"""GO:0005886""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0005886
dcs:GeneOntologyTypeMolecularFunction,ion binding,"""GO:0043167""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0043167
dcs:GeneOntologyTypeMolecularFunction,cation binding,"""GO:0043169""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0043169
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,"hydrolase activity, acting on ester bonds","""GO:0016788""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0016788
dcs:GeneOntologyTypeMolecularFunction,binding,"""GO:0005488""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0005488
dcs:GeneOntologyTypeMolecularFunction,nucleotide binding,"""GO:0000166""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0000166
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,hydrolase activity,"""GO:0016787""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0016787
dcs:GeneOntologyTypeMolecularFunction,ferrous iron binding,"""GO:0008198""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0008198
dcs:GeneOntologyTypeMolecularFunction,5'-nucleotidase activity,"""GO:0008253""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0008253
dcs:GeneOntologyTypeMolecularFunction,nucleotide binding,"""GO:0000166""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0000166
dcs:GeneOntologyTypeBiologicalProcess,metabolic process,"""GO:0008152""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0008152
dcs:GeneOntologyTypeBiologicalProcess,nitrogen compound metabolic process,"""GO:0006807""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0006807
dcs:GeneOntologyTypeBiologicalProcess,cellular nitrogen compound metabolic process,"""GO:0034641""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0034641
dcs:GeneOntologyTypeBiologicalProcess,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","""GO:0015931""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0015931
dcs:GeneOntologyTypeBiologicalProcess,"nucleobase, nucleoside and nucleotide metabolic process","""GO:0055086""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0055086
dcs:GeneOntologyTypeBiologicalProcess,nucleoside phosphate metabolic process,"""GO:0006753""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0006753
dcs:GeneOntologyTypeBiologicalProcess,nucleotide metabolic process,"""GO:0009117""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0009117
